ID,Key,Tgate,Tstep,Velo,SR,GR_SR,PhoV,Part,Dyn,Bar,TMDid,Remain,Check,Scale,Gate,Time,Step,SR_avg,n_SR,DifKey,
1,80,120,120, 111,0.85,2.10784,s,2,non,1,1,2,0,0,215,0,102,1.15205422718658,1,l,
2,78,120,120, 90,0.85,1.26471,s,2,non,1,5,2,0,0,129,102,102,1.15205422718658,1.00980352941176,b,
3,76,120,120, 90,0.858333,1.39806,s,2,non,1,6,2,0,0,144,204,102.99996,1.16334842468675,0.990291646715203,a,
4,75,120,120, 90,0.85,1,s,2,non,1,7,2,0,0,102,307,102,1.15205422718658,0.901961176470588,J,
5,85,120,120, 90,0.766667,0.217391,s,2,non,2,8,2,0,0,20,409,92.00004,1.03910818611112,1,l,
6,75,120,120, 58,0.766667,0.967391,s,2,non,2,12,2,0,0,89,501,92.00004,1.03910818611112,1,c,
7,72,120,120, 58,0.766667,0.967391,s,2,non,2,13,2,0,0,89,593,92.00004,1.03910818611112,1.30434725897945,A,
8,73,120,120,60,1,1,s,2,non,2,14,2,0,0,120,593,120,1.35535791433716,0.766667,B,
9,75,120,120, 58,0.766667,0.967391,s,2,non,2,15,2,0,0,89,685,92.00004,1.03910818611112,0.989129569943665,f,
10,76,120,120, 61,0.752083,0.216066,s,2,non,2,18,2,0,0,39,777,90.24996,1.01934164628843,0.997230358883262,c,
11,73,120,120, 58,0.75,0.977778,s,2,non,2,19,2,0,0,88,868,90,1.01651843575287,1,B,
12,75,120,120, 58,0.75,0.977778,s,2,non,2,20,2,0,0,88,958,90,1.01651843575287,1.33333333333333,A,
13,76,120,120,60,1,1,s,2,non,2,21,2,0,0,120,958,120,1.35535791433716,0.75,h,
14,78,120,120, 61,0.708333,0.217647,s,2,non,2,24,2,0,0,37,1138,84.99996,0.96004473753618,1,c,
15,75,120,120, 61,0.708333,0.217647,s,2,non,2,25,2,0,0,37,1138,84.99996,0.96004473753618,1,A,
16,76,120,120, 58,0.708333,0.964706,s,2,non,2,26,2,0,0,82,1223,84.99996,0.96004473753618,1,B,
17,78,120,120, 58,0.708333,0.964706,s,2,non,2,27,2,0,0,82,1308,84.99996,0.96004473753618,1.41176537024253,l,
18,80,120,120, 58,0.7,1.08333,s,2,non,2,30,2,0,0,91,1478,84,0.948750540036009,1.00892857142857,d,
19,76,120,120, 61,0.70625,0.218289,s,2,non,2,31,2,0,0,37,1478,84.75,0.957221527000616,1,B,
20,78,120,120, 61,0.70625,0.218289,s,2,non,2,32,2,0,0,37,1478,84.75,0.957221527000616,1.00294938053097,B,
21,80,120,120, 58,0.708333,1.07059,s,2,non,3,33,2,0,0,91,1562,84.99996,0.96004473753618,1,p,
22,81,120,120, 58,0.708333,1.07059,s,2,non,3,36,2,0,0,91,1732,84.99996,0.96004473753618,1.0117656525956,a,
23,80,120,120, 67,0.716667,0.77907,s,2,non,3,37,2,0,0,67,1817,86.00004,0.971340290394266,1,E,
24,85,120,120, 61,0.716667,0.215116,s,2,non,3,38,2,0,0,37,1817,86.00004,0.971340290394266,1,g,
25,78,120,120, 61,0.716667,0.215116,s,2,non,3,39,2,0,0,37,1817,86.00004,0.971340290394266,1,l,
26,80,120,120, 74,0.716667,0.674419,s,2,non,3,43,2,0,0,58,2075,86.00004,0.971340290394266,1,b,
27,78,120,120, 67,0.716667,0.77907,s,2,non,3,44,2,0,0,67,2161,86.00004,0.971340290394266,1.00290651027604,G,
28,85,120,120, 63,0.71875,0.231884,s,2,non,3,45,2,0,0,40,2161,86.25,0.974163500929831,1,i,
29,76,120,120, 63,0.71875,0.231884,s,2,non,3,46,2,0,0,40,2161,86.25,0.974163500929831,1,l,
30,78,120,120,60,1,1,s,2,non,3,50,2,0,0,120,2334,120,1.35535791433716,0.716667,b,
31,76,120,120, 74,0.716667,0.674419,s,2,non,3,51,2,0,0,58,2420,86.00004,0.971340290394266,1,I,
32,85,120,120, 67,0.716667,0.77907,s,2,non,3,52,2,0,0,67,2506,86.00004,0.971340290394266,1,j,
33,75,120,120, 63,0.716667,0.232558,s,2,non,3,53,2,0,0,40,2506,86.00004,0.971340290394266,1,l,
34,76,120,120, 58,0.716667,0.77907,s,2,non,3,57,2,0,0,67,2678,86.00004,0.971340290394266,1.39534818821014,a,
35,75,120,120,60,1,1,s,2,non,3,58,2,0,0,120,2678,120,1.35535791433716,0.716667,J,
36,85,120,120, 74,0.716667,0.674419,s,2,non,3,59,2,0,0,58,2764,86.00004,0.971340290394266,1.01162743645235,l,
37,73,120,120, 67,0.725,0.770115,s,2,non,4,60,2,0,0,67,2850,87,0.982634487894438,0.908045517241379,i,
38,80,240,120, 58,0.716667,0.77907,e,2,non,4,64,2,0,0,67,2937,86.00004,0.971340290394266,1,H,
39,88,120,120, 58,0.716667,0.77907,s,2,non,4,65,2,0,0,67,3023,86.00004,0.971340290394266,1.39534818821014,g,
40,81,120,120,60,1,1,s,2,non,4,66,2,0,0,120,3023,120,1.35535791433716,0.241667,i,
41,72,120,120, 74,0.241667,2,s,2,non,4,67,2,0,0,58,3109,29.00004,0.327545281084117,4.82759334125056,l,
42,78,240,120, 63,0.691667,0.39759,e,2,non,4,71,2,0,0,66,3195,83.00004,0.937456342535838,0.987950849180314,I,
43,87,120,120, 56,0.683333,0.439024,s,2,non,4,72,2,0,0,72,3278,81.99996,0.926160789677752,1.01219610351029,g,
44,80,120,120, 67,0.691667,0.686747,s,2,non,4,73,2,0,0,57,3360,83.00004,0.937456342535838,1.4457824357675,l,
45,68,120,120,60,1,1,s,2,non,4,74,2,0,0,120,3360,120,1.35535791433716,0.233333,g,
46,76,240,120, 61,0.747917,0.401114,e,2,non,4,78,2,0,0,72,3526,89.75004,1.0136952252173,1,I,
47,85,120,120, 63,0.747917,0.367688,s,2,non,4,79,2,0,0,66,3526,89.75004,1.0136952252173,0.91364817219023,g,
48,78,120,120, 56,0.683333,0.439024,s,2,non,4,80,2,0,0,72,3609,81.99996,0.926160789677752,1.01219610351029,j,
49,68,120,120, 67,0.691667,0.686747,s,2,non,4,81,2,0,0,57,3691,83.00004,0.937456342535838,1.4457824357675,l,
50,75,240,120, 61,0.683333,0.878049,e,2,non,4,84,2,0,0,72,3857,81.99996,0.926160789677752,1.00914634592505,I,
51,84,120,120, 58,0.689583,0.338369,s,2,non,4,85,2,0,0,56,3857,82.74996,0.934631776642359,1,h,
52,76,120,120, 58,0.689583,0.338369,s,2,non,4,86,2,0,0,56,3857,82.74996,0.934631776642359,1,I,
53,85,240,240, 58,0.689583,0.338369,e,2,non,5,87,2,0,0,56,3857,165.49992,0.934631776642359,1.00302211626447,l,
54,69,120,120, 56,0.691667,0,s,2,f,5,91,2,0,0,0,4105,83.00004,0.937456342535838,1.03614456089419,l,
55,81,120,120, 58,0.716667,0.290698,s,2,f,5,94,2,0,0,50,4188,86.00004,0.971340290394266,1,m,
56,68,120,120, 56,0.716667,0.436047,s,2,f,5,95,2,0,0,75,4274,86.00004,0.971340290394266,1,l,
57,80,120,120, 56,0.716667,0,s,2,f,5,98,2,0,0,0,4446,86.00004,0.971340290394266,0.982558147647373,m,
58,67,120,120, 99,0.704167,0.195266,s,2,f,5,99,2,0,0,33,4532,84.50004,0.954398316465052,1,l,
59,79,120,120, 78,0.704167,0.301775,s,2,f,5,102,2,0,0,51,4532,84.50004,0.954398316465052,1.00591621021718,k,
60,68,120,120, 78,0.708333,0.776471,s,2,f,5,103,2,0,0,66,4701,84.99996,0.96004473753618,0.99411858546757,l,
61,80,120,120, 78,0.7,0.535714,s,2,f,5,106,2,0,0,45,4786,84,0.948750540036009,1.04761857142857,s,
62,61,120,120, 78,0.733333,0.784091,s,2,f,5,107,2,0,0,69,4870,87.99996,0.993928685394609,1,l,
63,73,120,120, 78,0.733333,0.534091,s,2,f,5,110,2,0,0,47,4958,87.99996,0.993928685394609,1,B,
64,75,480,480, 78,0.733333,0.784091,q,2,f,5,111,2,0,0,69,5046,351.99984,0.993928685394609,1,e,
65,71,240,480, 73,0.733333,0.346591,e,2,f,6,121,2,0,0,61,5398,351.99984,0.993928685394609,1,c,
66,67,240,480, 81,0.733333,1.47727,e,2,f,6,129,2,0,0,130,5574,351.99984,0.993928685394609,1,d,
67,68,240,480, 58,0.7625,0.295082,e,2,f,6,136,2,0,0,54,5926,366,1.03346040968208,0.994535081967213,e,
68,68,240,480, 58,0.760417,0.29589,e,2,f,6,143,2,0,0,54,6292,365.00016,1.03063719914652,1,d,
69,68,240,480, 58,0.725,0.293103,e,2,f,7,150,2,0,0,51,6657,348,0.982634487894438,1,e,
70,68,240,480, 57,0.725,0.885057,e,2,f,7,157,2,0,0,77,6918,348,0.982634487894438,0.997126896551724,d,
71,68,240,480,60,1,1,e,2,f,7,164,2,0,0,240,7178,480,1.35535791433716,0.725,e,
72,70,240,480, 53,0.708333,0.905882,e,2,f,7,170,2,0,0,77,7437,339.99984,0.96004473753618,1,g,
73,71,240,480, 51,0.708333,0.905882,e,2,f,8,177,2,0,0,77,7692,339.99984,0.96004473753618,1,c,
74,87,480,480, 48,0.716667,0.906977,q,2,f,8,185,2,0,0,78,8118,344.00016,0.971340290394266,0.988371168199457,e,
75,83,240,480, 45,0.708333,0.917647,e,2,f,8,192,2,0,0,78,8375,339.99984,0.96004473753618,1.0117656525956,c,
76,75,480,480, 51,0.775,0.295699,q,2,f,8,198,2,0,0,55,8717,372,1.0504023836113,1,e,
77,71,240,240, 44,0.775,0.731183,e,2,f,9,205,2,0,0,68,8996,186,1.0504023836113,0.873655483870968,c,
78,64,240,120, 49,0.675,0.728395,e,2,f,9,209,2,0,0,59,9089,81,0.91486659217758,1,c,
79,67,120,120, 56,0.683333,0.719512,s,2,f,9,211,2,0,0,59,9251,81.99996,0.926160789677752,0.987805359905054,d,
80,63,240,120, 44,0.675,0.728395,e,2,f,9,212,2,0,0,59,9333,81,0.91486659217758,1.07716,d,
81,68,120,120, 66,0.727083,0.183381,s,2,f,9,214,2,0,0,32,9414,87.24996,0.985457698430002,0.997135127626419,a,
82,67,240,120, 49,0.725,0.735632,e,2,f,9,215,2,0,0,64,9414,87,0.982634487894438,1,c,
83,70,120,120, 56,0.725,0.735632,s,2,f,9,217,2,0,0,64,9588,87,0.982634487894438,1.37931034482759,d,
84,66,240,120,60,1,1,e,2,f,9,218,2,0,0,240,9588,120,1.35535791433716,0.733333,c,
85,71,120,120, 76,0.73125,0.994302,s,2,f,9,220,2,0,0,349,9763,87.75,0.991105474859045,1,b,
86,69,240,120, 76,0.73125,0.994302,e,2,f,9,221,2,0,0,349,9763,87.75,0.991105474859045,1,c,
87,72,120,120, 49,0.725,0.735632,s,2,f,9,223,2,0,0,64,9763,87,0.982634487894438,1,d,
88,68,240,120, 44,0.725,0.367816,e,2,f,9,224,2,0,0,64,9850,87,0.982634487894438,1,d,
89,73,120,120, 44,0.725,0.735632,s,2,f,9,226,2,0,0,64,10024,87,0.982634487894438,0.931034482758621,a,
90,72,240,120, 54,0.675,0.302469,e,2,f,9,227,2,0,0,49,10114,81,0.91486659217758,1,f,
91,75,120,120, 78,0.741667,0.926966,s,2,f,9,231,2,0,0,165,10276,89.00004,1.0052242382527,0.943819800530427,b,
92,73,120,120, 61,0.7,0.982143,s,2,f,10,232,2,0,0,165,10276,84,0.948750540036009,0.940475714285714,i,
93,75,120,120, 48,0.675,0.530864,s,2,f,10,235,2,0,0,86,10444,81,0.91486659217758,0.975308148148148,c,
94,72,120,120, 67,0.658333,0.696203,s,2,f,10,236,2,0,0,55,10530,78.99996,0.892276841819323,1.08860865246008,A,
95,73,120,120, 78,0.716667,0.959302,s,2,f,10,237,2,0,0,165,10609,86.00004,0.971340290394266,0.959301879394475,B,
96,75,120,120, 68,0.6875,1,s,2,f,10,238,2,0,0,165,10606,82.5,0.931808566106795,0.957575272727273,f,
97,76,120,120, 62,0.6875,0.521212,s,2,f,10,241,2,0,0,86,10771,82.5,0.931808566106795,0.993938909090909,c,
98,73,120,120, 67,0.683333,0.682927,s,2,f,10,242,2,0,0,56,10857,81.99996,0.926160789677752,0.975610719810107,B,
99,75,120,120, 82,0.666667,1.03125,s,2,f,10,243,2,0,0,165,10939,80.00004,0.903572394677409,1.03124948437526,A,
100,76,120,120, 77,0.6875,1,s,2,f,10,244,2,0,0,165,10936,82.5,0.931808566106795,1.03030254545455,h,
101,78,120,120, 71,0.6875,0.521212,s,2,f,10,247,2,0,0,86,11101,82.5,0.931808566106795,0.993938909090909,c,
102,75,120,120, 67,0.683333,0.682927,s,2,f,10,248,2,0,0,56,11184,81.99996,0.926160789677752,1.01219610351029,A,
103,76,120,120, 90,0.691667,0.578313,s,2,f,10,249,2,0,0,96,11266,83.00004,0.937456342535838,0.993975424590157,B,
104,78,120,120, 64,0.6875,0.248485,s,2,f,10,250,2,0,0,41,11266,82.5,0.931808566106795,1,l,
105,80,120,120, 90,0.683333,1.04878,s,2,f,10,253,2,0,0,86,11349,81.99996,0.926160789677752,1.07317076740037,d,
106,76,120,120, 92,0.733333,1,s,2,f,10,254,2,0,0,88,11431,87.99996,0.993928685394609,0.997159544163429,B,
107,78,120,120, 79,0.73125,0.239316,s,2,f,10,255,2,0,0,42,11431,87.75,0.991105474859045,1,B,
