ID,Key,Tgate,Tstep,Velo,SR,GR_SR,PhoV,Part,Dyn,Bar,TMDid,Remain,Check,Scale,Gate,Time,Step,SR_avg,n_SR,DifKey,
1,72,960,960, 25,2.84167,1,h,2,non,1,1,2,0,0,2728,0,2728.0032,2.26408729539617,1,d,
2,68,720,480, 40,2.9,1.08956,c,2,p,1,8,2,0,0,2275,2728,1392,2.31056145036155,1,c,
3,64,480,240, 34,3.375,1.09012,q,2,p,1,13,2,0,0,1766,4120,810,2.68901548102421,1.17530962962963,F,
4,70,240,240, 29,3.96667,1.21534,e,2,p,1,14,2,0,0,1157,4930,952.0008,3.16042578907091,0.83376988758833,B,
5,72,1920,1920, 27,3.30729,0.991181,w,2,p,2,15,2,0,0,6294,5882,6349.9968,2.63506785488491,1,d,
6,72,480,480, 40,2.92917,1.06046,q,2,p,3,22,2,0,0,1491,12232,1406.0016,2.33380251157087,1.47652748048082,#,
7,71,480,480, 40,2.15208,1.08906,q,2,p,3,27,2,0,0,1125,13638,1032.9984,1.71465968486003,0.993225158916025,#,
8,72,480,480, 40,2.17083,1.08541,q,2,p,3,32,2,0,0,1131,14671,1041.9984,1.7295986597546,0.993283674907754,#,
9,75,480,480, 47,2.05417,1.11968,q,2,p,3,37,2,0,0,1104,15713,986.0016,1.63665034982385,1.01318294006825,#,
10,72,480,480, 48,2.34792,0.980479,q,2,p,4,42,2,0,0,1105,16699,1127.0016,1.87069428983892,0.97426658489216,#,
11,72,360,360, 40,2.39722,1.19583,d,2,p,4,47,2,0,0,1032,17826,862.9992,1.90997383449507,0.993338116651788,#,
12,70,120,120, 30,2.275,1.63736,s,2,p,4,52,2,0,0,447,18689,273,1.81259562054225,1.00640879120879,b,
13,68,480,480, 30,2.28958,1.13831,q,2,p,4,53,2,0,0,1251,18962,1098.9984,1.82421216742027,0.979983228365028,x,
14,63,480,480, 40,2.33958,1.16296,q,2,p,4,58,2,0,0,1306,20061,1122.9984,1.86404943380582,0.846840031116696,s,
15,60,240,240, 40,2.08333,1.29,e,2,p,5,62,2,0,0,645,21184,499.9992,1.6598834435799,1.10400176640283,p,
16,63,240,240, 50,1.91667,1.35652,e,2,p,5,65,2,0,0,624,21684,460.0008,1.52709786726361,0.926085345938529,l,
