ID,Key,Tgate,Tstep,Velo,SR,GR_SR,PhoV,Part,Dyn,Bar,TMDid,Remain,Check,Scale,Gate,Time,Step,SR_avg,n_SR,DifKey,
1,77,360,360, 43,3.19722,1.16507,d,2,p,1,1,2,0,0,1341,0,1150.9992,1.74868683821794,1.13119209813526,#,
2,73,120,120, 30,2.69167,1.50774,s,2,p,1,4,2,0,0,487,1151,323.0004,1.4721814269353,0.601006066865552,e,
3,68,960,960, 44,1.61771,1.04057,h,2,p,1,5,2,0,0,1616,1474,1553.0016,0.884789969114902,1.11526169709033,c,
4,70,480,480, 56,1.63125,1.20434,q,2,p,1,11,2,0,0,943,3027,783,0.892195533883504,0.878669731800766,e,
5,72,1440,1440, 54,1.59444,1.10235,b,2,p,2,15,2,0,0,2531,3810,2295.9936,0.872062680180974,0.977352550111638,f,
6,73,480,480, 49,1.48333,1.07163,q,2,p,2,23,2,0,0,763,6106,711.9984,0.811292200015582,0.994384257043274,h,
7,75,360,360, 54,1.70556,1.14495,d,2,p,3,27,2,0,0,703,6818,614.0016,0.932838629744275,1,i,
8,77,120,120, 56,2.26667,1.37132,s,2,p,3,31,2,0,0,373,7432,272.0004,1.23973201580857,1,i,
9,78,960,960, 56,1.45313,1.05161,h,2,p,3,33,2,0,0,1467,7704,1395.0048,0.794774618330812,1,h,
10,77,480,480, 55,1.59167,0.780105,q,2,mf,3,38,2,0,0,596,9099,764.0016,0.870547656960219,1,i,
11,77,720,3, 53,1,1.97917,c,2,mf,4,42,2,0,0,1425,9863,3,0.546939790886439,1.49792,i,
12,68,240,480, 43,1.49792,1.80529,e,2,mf,4,43,2,0,0,649,9866,719.0016,0.819272051564615,1,h,
13,66,240,237, 46,1.61181,1.84058,e,2,mf,4,46,2,0,0,712,10585,381.99897,0.881563024348672,1.1115888349123,I,
14,75,240,240, 41,1.79167,1.33721,e,2,mf,4,47,2,0,0,575,10967,430.0008,0.979935615137507,1.0360445841031,s,
15,73,480,3, 32,1.66667,0.87375,q,2,mf,4,49,2,0,0,699,11397,5.00001,0.911568141276702,0.859120281759436,h,
16,65,240,477, 35,1.43187,3.43084,e,2,mf,4,50,2,0,0,1179,11402,683.00199,0.783146678376566,1,d,
17,75,240,3, 39,114.667,0.00926599,e,2,p,4,53,2,0,0,255,12085,344.001,62.7159450015753,0.0297303496210767,i,
18,66,240,66, 29,3.40909,0.961889,e,2,p,4,54,2,0,0,787,12429,224.99994,1.86456697171305,1,f,
19,77,68,69, 46,2.31884,1.2557,0,2,p,4,56,2,0,0,198,12654,159.99996,1.26826586469911,1.0312483828121,b,
