ID,Key,Tgate,Tstep,Velo,SR,GR_SR,PhoV,Part,Dyn,Bar,TMDid,Remain,Check,Scale,Gate,Time,Step,SR_avg,n_SR,DifKey,
1,75,240,240, 34,1.85417,1.41798,e,2,p,1,1,2,0,0,631,0,445.0008,2.07322204651473,0.539324873123824,a,
2,74,240,240,60,1,1,e,2,p,1,2,2,0,0,240,0,240,1.11814021719407,2.32083,a,
3,73,160,160, 41,2.32083,1.2298,x,2,p,2,3,2,0,0,685,445,371.3328,2.59501336027051,0.937164721241969,t,
4,75,160,160, 30,1.61042,0.736524,x,2,p,2,5,2,0,0,1708,1002,257.6672,1.80067536857367,0.620956023894388,b,
5,73,160,160,60,1,1,x,2,p,2,6,2,0,0,160,1002,160,1.11814021719407,1.19375,a,
6,72,240,240, 42,1.19375,2.03141,e,2,p,2,7,2,0,0,388,1350,286.5,1.33477988427542,1.22513089005236,k,
7,73,240,240, 30,0.89375,0.745921,e,2,p,2,10,2,0,0,320,1775,214.5,0.999337819117199,1,D,
8,77,240,240, 30,0.89375,0.745921,e,2,p,2,11,2,0,0,320,1775,214.5,0.999337819117199,1.03496503496504,p,
9,75,240,240, 30,1.05417,0.715415,e,2,p,2,14,2,0,0,362,2204,253.0008,1.17870987275947,1,b,
10,73,960,960, 30,1.05417,0.715415,h,2,p,3,15,2,0,0,362,2204,1012.0032,1.17870987275947,1.16205166149672,u,
11,72,480,960,60,1,1,q,2,p,3,19,2,0,0,480,2710,960,1.11814021719407,1.09375,l,
12,69,240,240, 23,0.752083,1,e,2,p,4,23,2,0,0,361,3796,180.49992,0.840934248967966,1,i,
13,70,240,240,60,1,1,e,2,p,4,26,2,0,0,240,4157,240,1.11814021719407,1,B,
14,72,160,160,60,1,1,x,2,p,4,27,2,0,0,160,4157,160,1.11814021719407,0.858333,l,
15,75,160,160, 30,0.970833,0.776824,x,2,p,4,30,2,0,0,362,4619,155.33328,1.08552742147917,1.11587677798344,b,
16,73,160,160, 44,1.08333,1.18077,x,2,p,4,31,2,0,0,307,4825,173.3328,1.21131484149285,0.928849011843114,a,
17,72,960,960, 68,1.00625,1.29814,h,2,p,5,32,2,0,0,209,5085,966,1.12512859355153,1.00827826086957,w,
18,70,480,480, 57,1.10625,1.64407,q,2,p,5,36,2,0,0,291,5373,531,1.23694261527094,0.974580790960452,l,
19,70,720,720,60,1,1,c,2,p,6,39,2,0,0,720,5572,720,1.11814021719407,1.075,t,
20,68,240,240, 24,1.08958,0.998088,e,2,p,6,43,2,0,0,522,6585,261.4992,1.21830321785031,1,0,
21,68,160,160, 24,1.08958,0.998088,x,2,p,6,44,2,0,0,522,6585,174.3328,1.21830321785031,0.873170395932378,i,
22,67,160,160,60,1,1,x,2,p,6,47,2,0,0,160,7108,160,1.11814021719407,1.1,b,
23,65,160,160, 31,1.1,1.2822,x,2,p,6,48,2,0,0,677,7557,176,1.22995423891348,1,0,
24,65,960,960, 31,1.1,0.964015,h,2,p,7,49,2,0,0,509,7557,1056,1.22995423891348,1.10606363636364,n,
25,63,480,960, 31,1.17083,1,q,2,p,7,53,2,0,0,562,8085,1123.9968,1.30915211049733,0.784699742917418,c,
26,79,240,240, 37,0.883333,1.02358,e,2,f,8,57,2,0,0,1302,8647,211.99992,0.987690152474688,1.13207589889657,p,
27,77,240,240, 37,0.825,1,e,2,f,8,62,2,0,0,396,9553,198,0.922465679185106,1,b,
28,75,240,240, 37,0.825,1,e,2,f,8,63,2,0,0,396,9553,198,0.922465679185106,1.72475151515152,n,
29,73,240,240, 68,2.56667,0.512987,e,2,f,8,67,2,0,0,316,10632,616.0008,2.8698969512655,0.339285143785528,b,
30,71,960,960, 50,0.870833,0.95933,h,2,p,9,68,2,0,0,401,10632,835.99968,0.973713399759762,1,#,
31,72,720,720, 42,0.93125,0.997763,c,2,p,9,73,2,0,0,446,11050,670.5,1.04126807726198,1,l,
32,73,240,240, 42,0.85,1,e,2,p,10,78,2,0,0,408,11497,204,0.950419184614958,1.21323529411765,I,
33,82,240,240, 34,1.03125,0.959596,e,2,p,10,79,2,0,0,475,11905,247.5,1.15308209898138,1,u,
34,80,240,240, 44,1.46111,1,e,2,p,10,82,2,0,0,1052,12400,350.6664,1.63372585274443,0.988118622143439,c,
35,77,240,240, 31,1.44375,1,e,2,p,10,83,2,0,0,693,12400,346.5,1.61431493857394,1,p,
36,73,240,240, 29,1.73333,0.725962,e,2,p,10,86,2,0,0,1812,13093,415.9992,1.93810598266899,0.576924186392666,0,
37,73,960,960,60,1,1,h,2,mp,11,87,2,0,0,960,13093,960,1.11814021719407,1.97083,u,
38,72,480,480, 29,1.17708,0.782301,q,2,mp,11,91,2,0,0,442,13925,564.9984,1.31614048685479,0.814161314439121,l,
39,69,96,96, 29,0.866667,0.709135,0,2,p,12,94,2,0,0,295,14490,83.200032,0.969055227614932,1,r,
40,70,96,96, 43,0.941667,1,0,2,p,12,96,2,0,0,226,14680,90.400032,1.05291574390449,1.02986724606469,a,
41,69,96,96, 43,0.969792,1,0,2,p,12,97,2,0,0,931,14906,93.100032,1.08436343751307,0.958109574011747,a,
42,68,96,96, 29,0.929167,1.06129,0,2,p,12,98,2,0,0,1420,14906,89.200032,1.03893899118956,1.07623279776402,A,
43,69,96,96,60,1,1,0,2,p,12,99,2,0,0,96,14906,96,1.11814021719407,1.01042,C,
44,72,160,160, 29,1.01042,1,x,2,p,12,100,2,0,0,485,15352,161.6672,1.12979123825723,1,l,
45,75,160,160, 29,1.01875,1,x,2,p,12,103,2,0,0,489,15837,163,1.13910534626646,1,B,
46,77,160,160, 29,1.01875,1,x,2,p,12,104,2,0,0,489,15837,163,1.13910534626646,1.10429447852761,A,
47,78,240,360, 33,1.125,1.41667,e,2,mp,12,105,2,0,0,153,16326,405,1.25790774434333,1.00740444444444,r,
48,69,120,120, 33,1.13542,1.40367,s,2,p,12,108,2,0,0,153,16434,136.2504,1.26955876540649,0.990822779235877,C,
49,72,960,960, 33,1.125,1.40741,h,2,p,13,109,2,0,0,152,16543,1080,1.25790774434333,1.00926222222222,c,
