ID,Key,Tgate,Tstep,Velo,SR,GR_SR,PhoV,Part,Dyn,Bar,TMDid,Remain,Check,Scale,Gate,Time,Step,SR_avg,n_SR,DifKey,
1,68,1920,480, 64,1.91667,0.25,w,2,non,1,1,2,0,0,920,0,920.0016,4.10169950936841,0.52173822306396,H,
2,76,1440,1440,60,1,1,b,2,non,2,2,2,0,0,1440,0,1440,2.14001341356019,1.15903,#,
3,75,1440,1680, 59,1.075,0.868217,b,2,non,3,10,2,0,0,448,2094,1806,2.30051441957721,0.949060465116279,h,
4,68,240,240, 46,1.08958,0.982792,e,2,non,4,20,2,0,0,514,4046,261.4992,2.33171581514691,0.917784834523394,b,
5,71,240,360, 47,0.579167,2.15827,e,2,non,4,22,2,0,0,300,4303,208.50012,1.23942514869142,1,b,
6,68,120,120, 35,1,0.910417,s,2,non,4,28,2,0,0,437,4573,120,2.14001341356019,1,b,
7,75,480,720,60,1,1,q,2,non,4,30,2,0,0,480,4573,720,2.14001341356019,1.00833,i,
8,68,240,240, 35,0.739583,0.923944,e,2,non,5,36,2,0,0,328,5053,177.49992,1.58271754044109,1,b,
9,71,240,360, 53,0.8,0.888021,e,2,non,5,38,2,0,0,341,5404,288,1.71201073084815,1.25,b,
10,68,120,120, 53,1.05833,0.452756,s,2,non,5,43,2,0,0,115,5754,126.9996,2.26484039597316,1,b,
11,73,480,480, 64,0.939583,0.159645,q,2,non,5,45,2,0,0,72,5788,450.99984,2.01072022315313,1,i,
12,73,1440,1440, 55,1.00833,1,b,2,non,6,49,2,0,0,121,6107,1451.9952,2.15783972529515,1.15083355647457,i,
13,72,1440,1680, 52,0.81875,3.24173,b,2,non,7,56,2,0,0,1274,6801,1375.5,1.75213598235241,1.04325740458015,i,
14,64,240,240, 53,0.785417,0.870027,e,2,non,8,64,2,0,0,328,8363,188.50008,1.6808029152382,1,b,
15,68,240,360, 58,0.758333,0.868132,e,2,non,8,66,2,0,0,316,8740,272.99988,1.62284279194534,1,b,
16,64,120,120, 57,0.595833,1.67133,s,2,non,8,70,2,0,0,239,9295,71.49996,1.27509061224181,1,b,
